경기장,날짜,경기 이름
수원KT소닉붐아레나,2023/12/05 ( 화 ) ,수원KT VS 고양 소노
잠실실내체육관,2023/12/05 ( 화 ) ,서울삼성 VS 창원LG
울산동천체육관,2023/12/07 ( 목 ) ,울산현대모비스 VS 서울SK
창원실내체육관,2023/12/07 ( 목 ) ,창원LG VS 전주KCC
고양체육관,2023/12/08 ( 금 ) ,고양 소노 VS 한국가스공사
원주종합체육관,2023/12/08 ( 금 ) ,원주DB VS 서울삼성
창원실내체육관,2023/12/09 ( 토 ) ,창원LG VS 수원KT
울산동천체육관,2023/12/09 ( 토 ) ,울산현대모비스 VS 안양KGC
고양체육관,2023/12/10 ( 일 ) ,고양 소노 VS 한국가스공사
원주종합체육관,2023/12/10 ( 일 ) ,원주DB VS 안양KGC
울산동천체육관,2023/12/11 ( 월 ) ,울산현대모비스 VS 창원LG
수원KT소닉붐아레나,2023/12/12 ( 화 ) ,수원KT VS 서울삼성
원주종합체육관,2023/12/12 ( 화 ) ,원주DB VS 서울SK
부산사직실내체육관,2023/12/12 ( 화 ) ,전주KCC VS 한국가스공사
대구실내체육관,2023/12/14 ( 목 ) ,한국가스공사 VS 서울SK
부산사직실내체육관,2023/12/15 ( 금 ) ,전주KCC VS 원주DB
수원KT소닉붐아레나,2023/12/15 ( 금 ) ,수원KT VS 고양 소노
잠실학생체육관,2023/12/16 ( 토 ) ,서울SK VS 울산현대모비스
안양실내체육관,2023/12/16 ( 토 ) ,안양KGC VS 서울삼성
대구실내체육관,2023/12/16 ( 토 ) ,한국가스공사 VS 창원LG
창원실내체육관,2023/12/17 ( 일 ) ,창원LG VS 서울삼성
부산사직실내체육관,2023/12/17 ( 일 ) ,전주KCC VS 고양 소노
원주종합체육관,2023/12/17 ( 일 ) ,원주DB VS 수원KT
안양실내체육관,2023/12/18 ( 월 ) ,안양KGC VS 한국가스공사
수원KT소닉붐아레나,2023/12/19 ( 화 ) ,수원KT VS 서울SK
울산동천체육관,2023/12/19 ( 화 ) ,울산현대모비스 VS 전주KCC
고양체육관,2023/12/21 ( 목 ) ,고양 소노 VS 서울SK
대구실내체육관,2023/12/21 ( 목 ) ,한국가스공사 VS 원주DB
울산동천체육관,2023/12/22 ( 금 ) ,울산현대모비스 VS 수원KT
안양실내체육관,2023/12/22 ( 금 ) ,안양KGC VS 전주KCC
고양체육관,2023/12/23 ( 토 ) ,고양 소노 VS 원주DB
창원실내체육관,2023/12/23 ( 토 ) ,창원LG VS 서울SK
대구실내체육관,2023/12/23 ( 토 ) ,한국가스공사 VS 서울삼성
창원실내체육관,2023/12/24 ( 일 ) ,창원LG VS 전주KCC
안양실내체육관,2023/12/24 ( 일 ) ,안양KGC VS 수원KT
고양체육관,2023/12/24 ( 일 ) ,고양 소노 VS 울산현대모비스
대구실내체육관,2023/12/25 ( 월 ) ,한국가스공사 VS 전주KCC
잠실학생체육관,2023/12/25 ( 월 ) ,서울SK VS 서울삼성
원주종합체육관,2023/12/25 ( 월 ) ,원주DB VS 울산현대모비스
창원실내체육관,2023/12/26 ( 화 ) ,창원LG VS 안양KGC
울산동천체육관,2023/12/28 ( 목 ) ,울산현대모비스 VS 서울삼성
고양체육관,2023/12/28 ( 목 ) ,고양 소노 VS 안양KGC
대구실내체육관,2023/12/28 ( 목 ) ,한국가스공사 VS 수원KT
원주종합체육관,2023/12/29 ( 금 ) ,원주DB VS 창원LG
고양체육관,2023/12/30 ( 토 ) ,고양 소노 VS 서울삼성
안양실내체육관,2023/12/30 ( 토 ) ,안양KGC VS 서울SK
수원KT소닉붐아레나,2023/12/30 ( 토 ) ,수원KT VS 전주KCC
대구실내체육관,2023/12/31 ( 일 ) ,한국가스공사 VS 울산현대모비스
창원실내체육관,2023/12/31 ( 일 ) ,창원LG VS 고양 소노
안양실내체육관,2023/12/31 ( 일 ) ,안양KGC VS 원주DB
